basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
tv-FR4-20210623T093405-60,0.72135319345826,0.924120886943213,0.787090964196231,0.821169896606339,0.72961044970014,0.924120886943213,0.787090964196231,HARD,HARD
tv-FR4-20210705T133239-60,0.932597382719828,0.946096320884671,0.895882758092905,0.976926609015076,0.977806688604883,0.977806688604883,0.946096320884671,EASY,EASY
tv-FR4-20210806T203954-60,0.920902071876909,0.962198429891314,0.921087220552578,0.94528689662834,0.927012164639227,0.962198429891314,0.927012164639227,EASY,EASY
tv-FR4-20211010T101704-60,0.653098856732467,0.771244589374793,0.727634467176011,0.699955356276324,0.577320988373221,0.771244589374793,0.699955356276324,HARD,HARD
tv-FR4-20211018T215612-60,1,0.439374238114588,0.675091460970832,0.570906135717188,0.00999593661113364,1,0.570906135717188,EASY,HARD
tv-FR4-20211113T001205-60,0.744189024780687,0.828686954387312,0.744189034551315,0.768969712492796,0.865765938827346,0.865765938827346,0.768969712492796,HARD,HARD
tv-FR4-20220109T034901-60,0.9885710553814,0.748726489028213,0.941059305500959,0.763257575757576,0.148217084639499,0.9885710553814,0.763257575757576,EASY,HARD
tv-FR4-20220316T183020-60,0.883103541497701,0.930494728304947,0.859655782069302,0.88191403081914,0.88416689195278,0.930494728304947,0.883103541497701,HARD,MEDIUM
tv-FR4-20220403T082425-60,0.96020935267743,0.990946306493684,0.96020935267743,0.986310244301618,0.925669570554239,0.990946306493684,0.96020935267743,EASY,EASY
tv-FR4-20220705T034920-60,0.987184352145715,0.386293466261902,0.952083683974565,0.517783220643025,0.223920242859114,0.987184352145715,0.517783220643025,EASY,HARD
tv-FR4-20220716T203357-60,1,0.762476798710497,0.946921989587372,0.474104104593041,0.0112180269949038,1,0.762476798710497,EASY,HARD
